Nyckel;Miltal;MY;Kaross;Drift;Märke;Modell;Pris;Dragkrok;Batteristorlek
3367;4869;2021;SUV;2;Ford;Mustang;369900;0;91
3368;850;2025;SUV;4;Mercedes-Benz;EQE;965000;0;96
3369;4050;2021;Sedan;4;Porsche;Taycan;870000;0;84
3370;3329;2023;Halvkombi;2;Citroën;e-C4;224800;0;50
3371;4433;2022;Halvkombi;2;Kia;e-Soul;274300;0;64
3372;1196;2023;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;509700;0;77
3373;5900;2024;Familjebuss;4;Kia;EV9;735000;1;100
3374;7240;2023;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;499000;0;77
3375;4579;2022;Halvkombi;2;Mini;Cooper;209000;0;29
3376;11390;2020;Sedan;4;Tesla;Model 3;264900;0;76
3377;5637;2022;SUV;2;Volkswagen;ID.4;313900;0;77
